id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
e8afee2d5d0a182e3d4996656e8cb42d,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-11T00:00:00,14e841815d9a4293b247f22ec9ac5754,Energy union,,1
1989a90c9a3d96bd3c1ce3cc7c3c6b6f,registered,,Carlo Zadra,Cabinet members of President Jean-Claude Juncker,2014-12-11T00:00:00,fb880a09da624f95b49723b25f0acef2,EU policy related issues,,1
7c3d4146be8d14fec81d0f79d27dc836,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2014-12-10T00:00:00,9bf1dc7e52ce47298bafc340362bbc89,Investment Plan,,1
8429f889af1fcbf5a3c80632dbc4379f,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2014-12-10T00:00:00,8415bc80b6a24fd0927e67223dfadada,TTIP,,1
fc306a4724b97b97992194b99896a5a2,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2014-12-10T00:00:00,79faa0195e9349e4b8d806fc7403f915,Digital Single Market,,1
a5beca6ae341a193cf7f01a6b3fc166c,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-10T00:00:00,996c56b9a1354c5392858792eb95261b,Investing in Europe and Energy Union,,1
1b1ec36a43d7bcc6a2d098d043b76fc9,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-09T00:00:00,c3d9e19a281e4c17aed9e0bc26c0e15f,Investment in Europe,,1
59faa2c8b6cbf6703a3ea081043070ce,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2014-12-08T00:00:00,a9ac416b135c458c8565955930bdc60d,Digital Agenda,,1
e95eec3179123a5d423e907d264d7c03,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-08T00:00:00,14e841815d9a4293b247f22ec9ac5754,Meeting on Energy policy and regulation & Climate change policy,,1
388839f67a850d6f1e25ab45a4cf8bb8,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2014-12-08T00:00:00,2e4dd57d7ad04e7c87572dabfa1d05a2,Digital Single Market,,1
